time,rad_flow,fpv_close,fpv_open,high,bypass,bpv_close,bpv_open,class
Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
,,2,3307,2,13.0,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
,,1,190,0,0.0,STS 51-F (Challenger),,
Colonel,US Army (Retired),2,334,0,0.0,"STS-28 (Columbia), STS-43 (Atlantis)",,
Colonel,US Air Force (Retired),4,814,4,29.0,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Colonel,US Air Force (Retired),2,289,2,8.0,"Gemini 12, Apollo 11",,
Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
,,2,313,2,12.0,"ST-5 (Columbia), STS 51-A (Discovery)",,
Captain,US Navy (Retired),4,1236,0,0.0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
Major General,US Air Force Reserves (Retired),1,147,0,0.0,Apollo 8,,
,,2,4005,6,38.0,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Lieutenant Colonel,US Air Force,2,594,0,0.0,"STS-89 (Endeavor), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
Commander,US Navy,2,579,0,0.0,"STS-119 (Discovery), STS-132 (Atlantis)",,
,,4,847,2,11.0,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Colonel,US Air Force,2,639,0,0.0,"STS-117 (Atlantis), STS-119 (Discovery)",,
,,2,205,1,2.0,"Gemini 8, Apollo 11",2012-08-25,
,,1,307,2,12.0,STS-119 (Discovery),,
Captain,US Navy (Retired),3,655,0,0.0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
,,0,0,0,0.0,,,
,,2,337,0,0.0,"STS-29 (Discovery), STS-40 (Columbia)",,
,,3,686,0,0.0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Captain,US Navy (Retired),4,965,0,0.0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
,,2,5075,1,5.0,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
,,3,733,4,26.0,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
,,1,190,0,0.0,STS 51-F (Challenger),,
Captain,US Air Force,0,0,0,0.0,,1966-02-28,
Captain,US Navy (Retired),2,1671,3,10.0,"Apollo 12, Skylab 3",,
Colonel,US Air Force,2,708,6,37.0,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Colonel,US Air Force (Retired),5,3861,0,0.0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
Colonel,US Air Force (Retired),3,779,0,0.0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
Colonel,US Air Force (Retired),4,689,0,0.0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
Colonel,US Air Force (Retired),3,386,0,0.0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
Colonel,US Air Force,2,687,0,0.0,"STS-126 (Endeavor), STS-133 (Discovery)",,
Major General,US Marine Corps (Retired),4,680,0,0.0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
Colonel,US Air Force (Retired),2,477,0,0.0,"Gemini 7, Apollo 8",,
Captain,US Navy,3,970,7,47.0,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Captain,US Navy (Retired),5,5078,2,13.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Captain,US Navy,1,405,0,0.0,STS-78 (Columbia),2006-07-23,
,US Marine Corps Reserves,4,752,0,0.0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",,
Captain,US Navy (Retired),4,789,0,0.0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Colonel,US Marine Corps,1,259,2,12.0,STS-129 (Atlantis),,
Major General,US Air Force (Retired),1,190,0,0.0,STS 51-F (Challenger),,
Colonel,US Air Force (Retired),6,1383,0,0.0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
Captain,US Navy,1,382,0,0.0,STS-107 (Columbia),2003-02-01,STS-107 (Columbia)
Colonel,US Air Force (Retired),2,249,0,0.0,"STS 28 (Columbia), STS-48 (Discovery)",,
Colonel,US Marine Corps (Retired),4,490,0,0.0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
,,1,381,0,0.0,STS-90 (Columbia),,
,,0,0,0,0.0,,2008-08-11,
Captain,US Coast Guard (Retired),3,4512,1,7.0,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Captain,US Navy (Retired),4,5446,2,12.0,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
Colonel,US Marine Corps (Retired),4,910,0,0.0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Colonel,US Air Force,0,0,0,0.0,,,
,,0,0,0,0.0,,2009-10-03,
,,2,4531,3,23.0,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
,,1,333,0,0.0,STS-114 (Discovery),,
Colonel,US Marine Corps (Retired),3,562,0,0.0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Lieutenant Colonel,US Air Force (Retired),1,262,0,0.0,STS-109 (Columbia),,
Commander,US Navy (Retired),1,4,0,0.0,Mercury 7,,
Colonel,US Marine Corps (Retired),1,2017,3,16.0,Skylab 4,,
Captain,US Navy,1,120,0,0.0,STS-33 (Discovery),1991-04-05,
Colonel,US Air Force (Retired),4,825,0,0.0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Commander,US Navy,1,4376,6,31.0,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
,,1,146,0,0.0,STS 61-C (Columbia),,
Captain,US Navy (Retired),3,566,4,24.0,"Gemini 9, Apollo 10, Apollo 17",,
Lieutenant Commander,US Navy,1,0,0,0.0,Apollo 1,1967-01-27,Apollo 1
,,2,4770,2,13.0,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
,,7,1602,3,19.0,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
,,0,0,0,0.0,,,
,,2,734,0,0.0,"STS-87 (Columbia), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
,,4,5503,6,36.0,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Brigadier General,US Air Force (Retired),3,700,0,0.0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
Captain,US Navy,1,382,0,0.0,STS-107 (Columbia),2003-02-01,STS-107 (Columbia)
,,2,262,0,0.0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Lieutenant Colonel,US Army (Retired),3,666,1,6.0,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Captain,US Navy (Retired),3,463,0,0.0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
,US Naval Reserves,5,1548,0,0.0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Colonel,US Air Force (Retired),3,4324,0,0.0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Colonel,US Air Force (Retired),4,890,0,0.0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
,US Air Force Reserves,2,266,1,1.0,"Gemini 10, Apollo 11",,
Captain,US Navy (Retired),4,1179,4,12.0,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",1999-07-08,
Colonel,US Air Force (Retired),2,225,0,0.0,"Mercury 9, Gemini 5",2004-10-04,
Colonel,US Air Force (Retired),4,645,0,0.0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Colonel,US Army (Retired),1,3917,0,0.0,ISS-22/23 (Soyuz),,
Captain,US Navy (Retired),3,404,0,0.0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
Captain,US Navy (Retired),4,565,0,0.0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
,,1,471,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,
Captain,US Navy (Retired),3,3446,1,5.0,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Colonel,US Marine Corps Reserves,1,260,0,0.0,Apollo 7,,
Captain,US Navy (Retired),3,902,7,45.0,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Colonel,US Army (Retired),4,999,0,0.0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
,,3,673,0,0.0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
,,1,331,0,0.0,STS-50 (Columbia),,
Colonel,US Air Force,2,613,2,13.0,"STS-118 (Endeavor), STS-133 (Discovery)",,
Colonel,US Air Force (Retired),4,977,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Brigadier General,US Air Force (Retired),1,265,3,20.0,Apollo 16,,
,,5,1207,0,0.0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
,,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",,
Colonel,US Air Force,1,362,0,0.0,STS-131 (Discovery),,
Commander,US Navy (Retired),1,211,0,0.0,STS-89 (Endeavor),,
Colonel,US Air Force (Retired),1,260,0,0.0,Apollo 7,1987-12-02,
,,1,190,0,0.0,STS 51-F (Challenger),,
Major General,US Air Force (Retired),2,224,0,0.0,"STS-2 (Columbia), STS 51-I (Discovery)",,
,,0,0,0,0.0,,,
Captain,US Navy (Retired),1,301,1,1.0,Apollo 17,1990-04-06,
Colonel,US Air Force (Retired),2,316,0,0.0,"STS-7 (Challenger), STS 51-G (Discovery)",,
Captain,US Navy (Retired),3,970,0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
,,1,336,0,0.0,STS-58 (Columbia),,
,,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,
Colonel,US Air Force,3,9159,9,48.0,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
,,0,0,0,0.0,,,
,,1,191,0,0.0,STS 51-A (Discovery),,
,,1,170,2,12.0,STS 51-I (Discovery),,
,,6,8970,4,22.0,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
Colonel,US Air Force (Retired),2,3781,0,0.0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Captain,US Navy (Retired),2,637,5,32.0,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Colonel,US Army (Retired),3,950,4,25.0,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
,US Air Force Reserves (Retired),3,4651,7,48.0,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Captain,US Air Force,0,0,0,0.0,,1964-10-31,
Captain,US Navy (Retired),2,566,0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
Colonel,US Air Force (Retired),2,382,0,0.0,"STS-3 (Columbia), STS 51-F (Challenger)",,
,,1,218,0,0.0,STS-40 (Columbia),,
Colonel,US Air Force (Retired),2,4271,4,27.0,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Captain,US Navy (Retired),2,336,2,12.0,"STS-8 (Challenger), STS 51-A (Discovery)",,
Colonel,US Air Force (Retired),2,320,0,0.0,"STS-27 (Atlantis), STS-35 (Columbia)",,
,,1,167,0,0.0,STS 51-D (Discovery),,
,,2,1674,3,14.0,"Skylab 3, STS-9 (Columbia)",,
Lieutenant Colonel,US Army,3,581,0,0.0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
,,4,1039,4,23.0,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
,,1,2017,3,15.0,Skylab 4,,
Captain,US Navy (Retired),5,868,0,0.0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
Major,US Air Force,0,0,0,0.0,,1967-06-06,
Colonel,US Marine Corps (Retired),2,218,0,0.0,"Mercury 6, STS-95 (Discovery)",,
,,4,918,2,10.0,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Colonel,US Air Force (Retired),2,592,4,30.0,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Captain,US Navy (Retired),4,1167,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Colonel,US Air Force (Retired),4,627,0,0.0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
,,0,0,0,0.0,,,
Colonel,US Air Force (Retired),3,455,0,0.0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
Lieutenant Colonel,US Air Force,1,399,0,0.0,STS-67 (Endeavor),,
,,1,167,1,3.0,STS 51-D (Discovery),1989-06-17,
Lieutenant Colonel,US Air Force,2,5,0,0.0,"Mercury 4, Gemini 3, Apollo 1",1967-01-27,Apollo 1
,,5,1407,8,58.0,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Colonel,US Air Force (Retired),2,488,0,0.0,"STS-40 (Columbia), STS-59 (Endeavor)",,
,,1,142,0,0.0,Apollo 13 ,,
Colonel,US Air Force (Retired),5,1258,0,0.0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Captain,US Navy,2,612,0,0.0,"STS-124 (Discovery), STS-132 (Atlantis)",,
Colonel,US Air Force (Retired),2,462,0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",,
,,4,817,3,18.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
,,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",,
,,1,167,0,0.0,STS 41-C (Challenger),,
Colonel,US Air Force (Retired),3,482,0,0.0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Captain,US Navy (Retired),3,435,0,0.0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
,,5,770,0,0.0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Lieutenant General,US Air Force,5,5063,1,9.0,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
,,1,190,0,0.0,STS 51-F (Challenger),1993-10-05,
Chief Warrant Officer,US Army (Retired),1,166,0,0.0,STS-44 (Atlantis),,
Colonel,US Air Force (Retired),4,1026,0,0.0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
,,1,332,0,0.0,STS-128 (Discovery),,
Commander,US Navy (Retired),1,330,3,20.0,STS-113 (Endeavor),,
,,3,766,3,18.0,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
,,1,308,0,0.0,STS-116 (Discovery),,
Colonel,US Marine Corps (Retired),4,494,0,0.0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
Captain,US Naval Reserves,2,711,0,0.0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Colonel,US Marine Corps (Retired),3,873,0,0.0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
,,5,1211,4,25.0,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
,,0,0,0,0.0,,,
Colonel,US Air Force,1,3990,2,13.0,ISS-37/38 (Soyuz),,
Colonel,US Air Force (Retired),4,1137,0,0.0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
,,1,218,0,0.0,STS-40 (Columbia),,
Colonel,US Marine Corps,2,683,0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Colonel,US Air Force,2,617,0,0.0,"STS-96 (Discovery), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
Colonel,US Air Force (Retired),1,295,3,20.0,Apollo 15,1991-08-08,
,,5,1341,0,0.0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
,,1,0,0,0.0,STS 51-L (Challenger),1986-01-28,STS 51-L (Challenger)
,,1,190,0,0.0,STS-47 (Endeavor),,
,,5,1489,1,8.0,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
